epoch,loss,val_loss
0,3.9910612988471983,3.281573284518407
1,3.087593976974487,2.9364880691915998
2,2.820675259590149,2.9571876824394034
3,2.632510188817978,2.653177308575271
4,2.50610815012455,2.5454133812815085
0,2.4334061123132704,2.7734033846118713
1,2.370959210157394,2.753238007809244
2,2.3283635039329527,2.4843086825314344
3,2.29613679766655,2.4202349862240586
4,2.271872829556465,2.451410308532967
5,2.2446503002643583,2.550231670945412
6,2.2119608665704726,2.3865985979142263
7,2.2098777536153795,2.334189395554868
8,2.189821656227112,2.4618402698416104
9,2.1767887358665465,2.433549944788351
10,2.1687951327562334,2.3610053701632374
11,2.158706755399704,2.431600041727895
12,2.167048367381096,2.5353858402331353
13,2.145210245490074,2.3479441906927443
14,2.126134737253189,2.3005546272658313
15,2.1195549255609514,2.3623692526679028
16,2.1222965959310534,2.363994680887909
17,2.110918757557869,2.3120732779099225
18,2.097647773385048,2.3748618225757876
19,2.1114776381254194,2.3927619237715385
20,2.0973538789749147,2.389539299919706
21,2.1103245161771773,2.4427623980114466
22,2.0959470354318617,2.3163741094777675
23,1.9609389324188233,2.143661339056433
24,1.918811084151268,2.1513717130961436
